User make new choice at 15:34
User add data at 15:34
Start work with app at 15:34
User make new choice at 15:34
User check data at 15:34
Start work with app at 15:34
User make new choice at 15:35
Enter error at 15:35
Enter error at 15:35
Start work with app at 15:35
User make new choice at 15:35
Data is replaced at 15:35
Start work with app at 15:35
User make new choice at 15:35
User check data at 15:35
Start work with app at 15:35
Start work with app at 12:24
User make new choice at 12:25
User check data at 12:25
Start work with app at 12:25
